"ID","Phase","Experiment","Stress","herbivory","soil_inocula","plant_pathway_induced","Glucosinolates","treatment","weight_mg","Glu_total","Glu_3MSOP","Glu_4MSOB","Glu_Allyl","Glu_4OHI3M","Glu_I3M","Glu_4MOI3M","Glu_1MOI3M"
"143","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",19.4,4.43429985019873,2.08473144580368,0.270508989416113,0.241906407572202,0.0294544993492161,1.70163995484048,0.0328051892732368,0.0732533639438052
"155","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",18.7,23.3405234696408,0.751617942730325,0.0332223650453043,0.0217734217764479,0.0347330291074062,19.853579345446,0.116497149088603,2.52910021644676
"167","feedback","simulated","Aphid","aphid","non-conditioned","NA","1","control_live",18.2,6.25290504421828,3.67905056668349,0.407362489353195,0.718897015347293,0.0230557404821729,1.22696327810731,0.0854850546554864,0.112090899589328
"179","feedback","simulated","Chewer","caterpillar","non-conditioned","NA","1","control_live",17.4,27.2233193904158,1.10730835566684,0.0469001034996758,0,0.0635357207763067,21.3973326455207,0.0901825707329703,4.51805999421932
"191","feedback","simulated","Control","without","non-conditioned","NA","1","control_live",10.7,5.30163545043179,1.79033529670029,0.212552832572747,0.567928501887529,0.0327892079388123,2.50553640233206,0.100773120868934,0.0917200881314088
"203","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",19.9,14.3264992794036,8.73286944290228,0.709362439037052,1.55766524831085,0.1032935723048,2.97565320873664,0.0870281010247009,0.160627267087298
"227","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",12.8,13.6024147761012,7.5781570534697,0.642487304475779,2.18543946449092,0.0692018474864142,2.83155004110419,0.136769931778246,0.158809133295957
"145","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",18.3,6.83968834859973,3.51807213171292,0.428978394595911,0.478523306742415,0.016872612578993,2.22062925776198,0.0718879919866239,0.104724653220885
"157","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",11.4,11.2638172822917,5.00180475215163,0.236678653510657,2.00029268830786,0.0538374008940415,3.69687719170446,0.141362765327422,0.132963830395617
"169","feedback","simulated","Aphid","aphid","non-conditioned","NA","1","control_live",16.8,12.681161475298,7.42178282688671,0.591760528556651,1.38729977003565,0.0581101878035249,2.84540888041426,0.112553061885635,0.264246219715615
"181","feedback","simulated","Chewer","caterpillar","non-conditioned","NA","1","control_live",14.4,39.5002236094795,0.177706344978797,0,0,0.01344740605928,34.3633016354099,0.202960575375516,4.74280764765608
"193","feedback","simulated","Control","without","non-conditioned","NA","1","control_live",19.9,7.63576868202256,4.77786090343134,0.775459880065373,0.759972361380717,0.067447818469168,1.15457793335109,0.0421952303016243,0.0582545550232426
"205","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",16,11.4914724793475,4.54213350776523,0.517689306815306,1.13947686324885,0.0551498808332902,4.77367811420721,0.208732405371854,0.254612401105788
"217","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",17.4,6.9047351864419,4.14182148337411,0.229034607597164,0.588637403947882,0.0326251656921802,1.66408018132432,0.0804280977214644,0.168108246784772
