"","distance","plant_pathway_induced","sample_name","Experiment","NMDS1","NMDS2","NMDS1_centroid","NMDS2_centroid"
"46","uni","JA","27_ITS","cond_phytohormones",-0.133732086880726,0.12515426541587,0.0653213470553146,-0.0336954445599294
"47","uni","JA","28_ITS","cond_phytohormones",0.0145912611285451,0.07281221666771,0.0653213470553146,-0.0336954445599294
"48","uni","JA","29_ITS","cond_phytohormones",-0.0256617696213737,-0.200181280682553,0.0653213470553146,-0.0336954445599294
"49","uni","JA","30_ITS","cond_phytohormones",0.243738877639058,-0.000239841615375261,0.0653213470553146,-0.0336954445599294
"50","uni","JA","32_ITS","cond_phytohormones",0.0439907161708068,-0.247712569831601,0.0653213470553146,-0.0336954445599294
"51","uni","SA","33_ITS","cond_phytohormones",-0.202196860665314,0.0422037812238817,0.0049446991133166,0.0854933472573575
"52","uni","SA","34_ITS","cond_phytohormones",-0.112148915792517,0.231400666737666,0.0049446991133166,0.0854933472573575
"53","uni","SA","38_ITS","cond_phytohormones",-0.221145610073005,0.21772722714172,0.0049446991133166,0.0854933472573575
"54","uni","SA","39_ITS","cond_phytohormones",0.189811456073408,0.100259749119987,0.0049446991133166,0.0854933472573575
"55","uni","SA","40_ITS","cond_phytohormones",0.0335530358465428,0.338984906918511,0.0049446991133166,0.0854933472573575
"56","uni","SA","43_ITS","cond_phytohormones",3.3202891465216e-05,-0.0452493523423604,0.0049446991133166,0.0854933472573575
"57","uni","SA","44_ITS","cond_phytohormones",-0.00191974587923167,0.125311031306807,0.0049446991133166,0.0854933472573575
"58","uni","SA","45_ITS","cond_phytohormones",0.0353036511643286,-0.150918316267689,0.0049446991133166,0.0854933472573575
"59","uni","SA","46_ITS","cond_phytohormones",0.253562034894429,-0.233778946429618,0.0049446991133166,0.0854933472573575
"60","uni","SA","48_ITS","cond_phytohormones",0.0745947426730591,0.22899272516467,0.0049446991133166,0.0854933472573575
"61","bray","control","127_ch_ITS","cond_real_insects",-0.133636762060672,-0.0826614638438447,0.014164666337348,-0.00717904614573262
"62","bray","control","96_ch_ITS","cond_real_insects",0.0501482479757028,-0.0908445730752388,0.014164666337348,-0.00717904614573262
"63","bray","control","105_ch_ITS","cond_real_insects",-0.175809870763415,-0.0763096531252175,0.014164666337348,-0.00717904614573262
"64","bray","control","110_ch_ITS","cond_real_insects",-0.115877762682701,0.0652823439231231,0.014164666337348,-0.00717904614573262
"65","bray","control","119_ch_ITS","cond_real_insects",-0.00579288383383201,0.00695806843878314,0.014164666337348,-0.00717904614573262
"66","bray","control","88_ch_ITS","cond_real_insects",0.131097637039623,0.0101513557946151,0.014164666337348,-0.00717904614573262
"67","bray","control","99_ch_ITS","cond_real_insects",0.015705192165408,0.0137391671868247,0.014164666337348,-0.00717904614573262
"68","bray","control","112_ch_ITS","cond_real_insects",-0.150925773775038,0.0392166849959321,0.014164666337348,-0.00717904614573262
"69","bray","control","121_ch_ITS","cond_real_insects",-0.0544749179733253,0.0659528561573567,0.014164666337348,-0.00717904614573262
"70","bray","control","92_ch_ITS","cond_real_insects",0.268862269837448,0.129329352756389,0.014164666337348,-0.00717904614573262
"71","bray","control","126_ch_ITS","cond_real_insects",0.0917204082553569,0.1096966871701,0.014164666337348,-0.00717904614573262
